Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,calories (product.metafields.custom.calories),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
evolve-3-0-shorts-burgundy-1,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/0W8A1591.jpg?v=1728933408,2,"",,,,,,,,,,,,kg,,,
evolve-3-0-shorts-burgundy-1,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/0W8A1595.jpg?v=1728933408,3,"",,,,,,,,,,,,kg,,,
evolve-3-0-shorts-burgundy-1,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/0W8A1603.jpg?v=1728933408,4,"",,,,,,,,,,,,kg,,,
evolve-3-0-shorts-burgundy,Evolve 3.0 Shorts – Purple,"<p><meta charset=""utf-8""><meta charset=""utf-8""><span>Introducing PALMFIT Evolve 3.0 Shorts in Purple – a sophisticated and stylish addition to your activewear collection. Meticulously designed, these shorts from our Evolve series exemplify the perfect fusion of comfort, innovation, and contemporary flair, providing a superior experience for every facet of your active lifestyle.</span><br></p>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/0W8A1557.jpg?v=1728933266,1,"",false,,,,,coffee,,xs; s; m; l,,,,kg,,,active
evolve-3-0-shorts-burgundy,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/0W8A1560.jpg?v=1728933266,2,"",,,,,,,,,,,,kg,,,
evolve-3-0-shorts-burgundy,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/0W8A1564.jpg?v=1728933266,3,"",,,,,,,,,,,,kg,,,
evolve-3-0-shorts-burgundy,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/0W8A1574.jpg?v=1728933266,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-pink,Evolve 2.0 Crop Top – Pink,"<p><meta charset=""utf-8""><span>Evolve crop top features a light mesh fabric and gives you the comfort to move with each workout. Breathable and quick dry material, it keeps the airflow going to get you through the most intense of workouts.</span></p>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07432.jpg?v=1728933132,1,"",false,,,,,coffee,,xs; s; m; l; xl,,,,kg,,,active
evolve-2-0-crop-top-pink,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07440.jpg?v=1728933132,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-pink,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07455.jpg?v=1728933132,3,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-pink,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07462.jpg?v=1728933133,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-pink,,,,,,,,,xl,,,,,,,,,0.0,shopify,10,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07480.jpg?v=1728933132,5,"",,,,,,,,,,,,kg,,,
evolve-2-0-shorts-pink,Evolve 2.0 Shorts – Pink,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The Evolve 2.0 Shorts are created with an optimal blend of fabric that moves flawlessly to complement your daily workout. With a comfortable fit that will provide a second-skin feel that your skin will adore. They are cut for a high-rise look making them a sublime match with Evolve 2.0 Tee. Fitted with an additional pocket to carry the essentials needed in the gym or at home.</span><br></p>
</div>
</div>
</div>
</div>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07491.jpg?v=1728933059,1,"",false,,,,,coffee,,xs; s; m; l; xl,,,,kg,,,active
evolve-2-0-shorts-pink,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07498.jpg?v=1728933059,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-shorts-pink,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07512.jpg?v=1728933059,3,"",,,,,,,,,,,,kg,,,
evolve-2-0-shorts-pink,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07536.jpg?v=1728933059,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-shorts-pink,,,,,,,,,xl,,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07549.jpg?v=1728933059,5,"",,,,,,,,,,,,kg,,,
evolve-2-0-shorts-pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07566.jpg?v=1728933059,6,"",,,,,,,,,,,,,,,
evolve-2-0-shorts-pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07573.jpg?v=1728933061,7,"",,,,,,,,,,,,,,,
evolve-2-0-shorts-pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07579.jpg?v=1728933059,8,"",,,,,,,,,,,,,,,
evolve-2-0-tshirt-pink,Evolve 2.0 Tshirt – Pink,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The Evolve 2.0 Tee is a lightweight tee that is perfect for heavy workouts, pilates or just smashing your daily tasks. The Evolve 2.0 Tee is cut for a slightly loose fit so you can continue for goals without feeling restricted.</span><br></p>
</div>
</div>
</div>
</div>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07609.jpg?v=1728932959,1,"",false,,,,,coffee,,xs; s; m; l; xl,,,,kg,,,active
evolve-2-0-tshirt-pink,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07617.jpg?v=1728932960,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-pink,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07641.jpg?v=1728932960,3,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-pink,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07647.jpg?v=1728932960,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-pink,,,,,,,,,xl,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07671.jpg?v=1728932960,5,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07697.jpg?v=1728932960,6,"",,,,,,,,,,,,,,,
evolve-2-0-tank-pink,Evolve 2.0 Tank – Pink,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>Easy-to-wear, stylish pieces offering clean-cut sophistication, using the softest fabrics to give the perfect fit. The minimalist look of the Evolve 2.0 Tank is a must-have for a premium fit. It’s designed with our sleek 3D tech logo on the front.</span><br></p>
</div>
</div>
</div>
</div>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07309.jpg?v=1728932910,1,"",false,,,,,coffee,,xs; s; m; l; xl,,,,kg,,,active
evolve-2-0-tank-pink,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07330.jpg?v=1728932910,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-tank-pink,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07352.jpg?v=1728932910,3,"",,,,,,,,,,,,kg,,,
evolve-2-0-tank-pink,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07362.jpg?v=1728932910,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-tank-pink,,,,,,,,,xl,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07371.jpg?v=1728932910,5,"",,,,,,,,,,,,kg,,,
evolve-2-0-tank-pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07393.jpg?v=1728932909,6,"",,,,,,,,,,,,,,,
evolve-2-0-tank-pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07402.jpg?v=1728932910,7,"",,,,,,,,,,,,,,,
evolve-2-0-tank-pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07412.jpg?v=1728932910,8,"",,,,,,,,,,,,,,,
evolve-2-0-crop-top-black,Evolve 2.0 Crop Top – Black,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>Evolve crop top features a light mesh fabric and gives you the comfort to move with each workout. Breathable and quick dry material, it keeps the airflow going to get you through the most intense of workouts.</span><br></p>
</div>
</div>
</div>
</div>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07057_55df5373-202f-4331-bdec-07f3d47a8225.jpg?v=1728932768,1,"",false,,,,,coffee,,xs; s; m; l; xl,,,,kg,,,active
evolve-2-0-crop-top-black,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07104_e5c03181-99ef-4ac4-b156-bc22fbf04633.jpg?v=1728932768,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-black,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07111_af97a08f-3618-487b-a99f-a1411212bc2f.jpg?v=1728932768,3,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-black,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07139_c61a589b-ce5a-40c8-adb1-5f859f1f8932.jpg?v=1728932768,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-black,,,,,,,,,xl,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07155_cd5a8817-45f4-4e8c-a48e-b973bb5afeda.jpg?v=1728932768,5,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07161_b9ce7d18-8772-460d-a2d7-2e6a89034bcb.jpg?v=1728932768,6,"",,,,,,,,,,,,,,,
evolve-2-0-tshirt-black,Evolve 2.0 Tshirt – Black,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The Evolve 2.0 Tee is a lightweight tee that is perfect for heavy workouts, pilates or just smashing your daily tasks. The Evolve 2.0 Tee is cut for a slightly loose fit so you can continue for goals without feeling restricted.</span><br></p>
</div>
</div>
</div>
</div>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07193.jpg?v=1728932661,1,"",false,,,,,coffee,,xs; s; m; l; xl,,,,kg,,,active
evolve-2-0-tshirt-black,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07233.jpg?v=1728932660,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-black,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07237.jpg?v=1728932660,3,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-black,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07249.jpg?v=1728932661,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-black,,,,,,,,,xl,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07277.jpg?v=1728932660,5,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH07289.jpg?v=1728932660,6,"",,,,,,,,,,,,,,,
evolve-2-0-tshirt-light-blue,Evolve 2.0 Tshirt – Light Blue,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The Evolve 2.0 Tee is a lightweight tee that is perfect for heavy workouts, pilates or just smashing your daily tasks. The Evolve 2.0 Tee is cut for a slightly loose fit so you can continue for goals without feeling restricted.</span><br></p>
</div>
</div>
</div>
</div>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06652.jpg?v=1728932535,1,"",false,,,,,coffee,,xs; s; m; l; xl,,,,kg,,,active
evolve-2-0-tshirt-light-blue,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06689.jpg?v=1728932535,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-light-blue,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06703.jpg?v=1728932535,3,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-light-blue,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06712.jpg?v=1728932535,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-light-blue,,,,,,,,,xl,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06731.jpg?v=1728932535,5,"",,,,,,,,,,,,kg,,,
evolve-2-0-tshirt-light-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06747.jpg?v=1728932535,6,"",,,,,,,,,,,,,,,
evolve-2-0-crop-top-blue,Evolve 2.0 Crop Top – Blue,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>Evolve crop top features a light mesh fabric and gives you the comfort to move with each workout. Breathable and quick dry material, it keeps the airflow going to get you through the most intense of workouts.</span><br></p>
</div>
</div>
</div>
</div>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06539.jpg?v=1728932394,1,"",false,,,,,coffee,,xs; s; m; l; xl,,,,kg,,,active
evolve-2-0-crop-top-blue,,,,,,,,,s,,,,,,,,,0.0,shopify,0,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06585.jpg?v=1728932394,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-blue,,,,,,,,,m,,,,,,,,,0.0,shopify,0,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06589.jpg?v=1728932394,3,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-blue,,,,,,,,,l,,,,,,,,,0.0,shopify,0,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06598.jpg?v=1728932395,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-crop-top-blue,,,,,,,,,xl,,,,,,,,,0.0,shopify,5,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06611.jpg?v=1728932394,5,"",,,,,,,,,,,,kg,,,
evolve-3-0-tshirt-blue,Evolve 2.0 Tank – Ice Blue,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>Easy-to-wear, stylish pieces offering clean-cut sophistication, using the softest fabrics to give the perfect fit. The minimalist look of the Evolve 2.0 Tank is a must-have for a premium fit. It’s designed with our sleek PALMFIT logo on the front.</span><br></p>
</div>
</div>
</div>
</div>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06381.jpg?v=1728932296,1,"",false,,,,,coffee,,xs; s; m; l; xl,,,,kg,,,active
evolve-3-0-tshirt-blue,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06391.jpg?v=1728932295,2,"",,,,,,,,,,,,kg,,,
evolve-3-0-tshirt-blue,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06406.jpg?v=1728932295,3,"",,,,,,,,,,,,kg,,,
evolve-3-0-tshirt-blue,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06418.jpg?v=1728932296,4,"",,,,,,,,,,,,kg,,,
evolve-3-0-tshirt-blue,,,,,,,,,xl,,,,,,,,,0.0,shopify,10,deny,manual,119.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06426.jpg?v=1728932296,5,"",,,,,,,,,,,,kg,,,
evolve-3-0-tshirt-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06479.jpg?v=1728932296,6,"",,,,,,,,,,,,,,,
evolve-3-0-tshirt-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06483.jpg?v=1728932296,7,"",,,,,,,,,,,,,,,
evolve-3-0-tshirt-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06499.jpg?v=1728932295,8,"",,,,,,,,,,,,,,,
evolve-3-0-tshirt-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06513.jpg?v=1728932296,9,"",,,,,,,,,,,,,,,
evolve-3-0-tshirt-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06529.jpg?v=1728932295,10,"",,,,,,,,,,,,,,,
evolve-2-0-shorts-blue,Evolve 2.0 Shorts – Blue,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The Evolve 2.0 Shorts are created with an optimal blend of fabric that moves flawlessly to complement your daily workout. With a comfortable fit that will provide a second-skin feel that your skin will adore. They are cut for a high-rise look making them a sublime match with Evolve 2.0 Tee. Fitted with an additional pocket to carry the essentials needed in the gym or at home.</span><br></p>
</div>
</div>
</div>
</div>",PalmFit,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06615.jpg?v=1728932053,1,"",false,,,,,coffee,,xs; s; m; l,,,,kg,,,active
evolve-2-0-shorts-blue,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06635.jpg?v=1728932052,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-shorts-blue,,,,,,,,,m,,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06759.jpg?v=1728932052,3,"",,,,,,,,,,,,kg,,,
evolve-2-0-shorts-blue,,,,,,,,,l,,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06764.jpg?v=1728932052,4,"",,,,,,,,,,,,kg,,,
evolve-2-0-shorts-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06786.jpg?v=1728932052,5,"",,,,,,,,,,,,,,,
evolve-2-0-shorts-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06802.jpg?v=1728932052,6,"",,,,,,,,,,,,,,,
evolve-2-0-shorts-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06822.jpg?v=1728932052,7,"",,,,,,,,,,,,,,,
evolve-2-0-shorts-black,Evolve 2.0 Shorts – Black,"<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<div class=""woocommerce-product-details__short-description"">
<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The Evolve 2.0 Shorts are created with an optimal blend of fabric that moves flawlessly to complement your daily workout. With a comfortable fit that will provide a second-skin feel that your skin will adore. They are cut for a high-rise look making them a sublime match with Evolve 2.0 Tee. Fitted with an additional pocket to carry the essentials needed in the gym or at home.</span><br></p>
</div>
</div>
</div>
</div>",BodyBar,Apparel & Accessories > Clothing > Activewear > Sports Bras,"","",true,Size,xs,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06970.jpg?v=1728931406,1,"",false,,,,,coffee,,xs; s; m; l,,,,kg,,,active
evolve-2-0-shorts-black,,,,,,,,,s,,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06981.jpg?v=1728931406,2,"",,,,,,,,,,,,kg,,,
evolve-2-0-shorts-black,,,,,,,,,m,,,,,,,,,0.0,shopify,0,deny,manual,120.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/RAH06989.jpg?v=1728931406,3,"",,,,,,,,,,,,kg,,,
