Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,calories (product.metafields.custom.calories),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
frio-coconut-sparkling-water,FRIO COCONUT SPARKLING WATER,"",BodyBar,"Food, Beverages & Tobacco > Beverages > Water > Carbonated Water","","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,7.00,,true,true,,,,,0 745110 672715,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/Screenshot2025-01-06at3.38.08PM.png?v=1736163496,1,"",false,,,,,,,,,,,kg,,,active
bilingual-isolate-gf-choc-bliss-1-64lb,Bilingual ISOLATE GF CHOC BLISS 1.64LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927068672,907.18474,,0,deny,manual,150.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
bilingual-platinum-hydro-v-van-3-5lb,Bilingual PLATINUM HYDRO V VAN 3.5LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927066791,1814.36948,,0,deny,manual,301.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
bilingual-platinum-hydro-v-van-1-75lb,Bilingual PLATINUM HYDRO V VAN 1.75LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927068719,907.18474,,0,deny,manual,165.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
bilingual-platinum-hydro-tur-choc-1-75lb,Bilingual PLATINUM HYDRO TUR CHOC 1.75LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927068733,907.18474,,0,deny,manual,165.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
bilingual-platinum-hydro-tur-choc-3-61lb,Bilingual PLATINUM HYDRO TUR CHOC 3.61LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927066784,1814.36948,,0,deny,manual,301.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
on-gold-stan-plant-pro-drich-fudg-1-76lb,ON GOLD STAN PLANT PRO DRICH FUDG 1.76LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927068054,907.18474,,0,deny,manual,144.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
on-gold-stan-plant-pro-crea-vanil-1-63lb,ON GOLD STAN PLANT PRO CREA VANIL 1.63LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927068030,907.18474,,0,deny,manual,144.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,active
on-gs-isolate-gf-vanilla-1-58lb,ON GS ISOLATE GF VANILLA 1.58LB,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927060690,907.18474,,0,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/US_GSIsolate_24sv_Angle1-Vanilla.png?v=1734191055,1,"",false,,,,,,,,,,,lb,,,active
amino-electrolyte-tangerine-285g6-cs,AMINO ELECTROLYTE TANGERINE 285G(6/ CS),"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927060539,285.0,,0,deny,manual,88.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/ON_AE_ELECTROLYTES_ArtFlv_30srv_TangerineWave.png?v=1734191002,1,"",false,,,,,,,,,,,g,,,active
amino-electrolyte-tangerine-285g6-cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/ON_AE_ELECTROLYTES_ArtFlv_30srv_TangerineWave_2.png?v=1734191002,2,"",,,,,,,,,,,,,,,
amino-electrolyte-tangerine-285g6-cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/ON_AE_ELECTROLYTES_ArtFlv_30srv_TangerineWave_3.png?v=1734191002,3,"",,,,,,,,,,,,,,,
amino-electrolyte-watermelon-285g-6-cs,AMINO ELECTROLYTE WATERMELON 285G 6/ CS,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927060522,285.0,,0,deny,manual,88.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/ON_AE_ELECTROLYTES_ArtFlv_30srv_WatermelonSplash_2.png?v=1734190959,1,"",false,,,,,,,,,,,g,,,active
amino-electrolyte-watermelon-285g-6-cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/ON_AE_ELECTROLYTES_ArtFlv_30srv_WatermelonSplash_3.png?v=1734190959,2,"",,,,,,,,,,,,,,,
amino-electrolyte-watermelon-285g-6-cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/ON_AE_ELECTROLYTES_ArtFlv_30srv_WatermelonSplash.png?v=1734190959,3,"",,,,,,,,,,,,,,,
amino-electrolyte-pineapple-285g-6-cs,AMINO ELECTROLYTE PINEAPPLE 285G 6/ CS,"",ONN,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Amino Acids,"","",true,Title,Default Title,,,,,,,,'748927060515,285.0,,0,deny,manual,88.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/ON_AE_ELECTROLYTES_ArtFlv_30srv_PineappleTwist.png?v=1734190922,1,"",false,,,,,,,,,,,g,,,active
amino-electrolyte-pineapple-285g-6-cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/2331/7570/files/ON_AE_ELECTROLYTES_ArtFlv_30srv_PineappleTwist_2.png?v=1734190922,2,"",,,,,,,,,,,,,,,
